Epoch,context=0,context=2,context=4,context=6
1,0.1832,0.1698,0.1629,0.1615
2,0.1613,0.1833,0.1611,0.1662
3,0.2975,0.2978,0.1686,0.1661
4,0.3452,0.4540,0.1638,0.1712
5,0.6629,0.5525,0.1679,0.1692
6,0.8313,0.6139,0.1777,0.1720
7,0.8997,0.6490,0.2392,0.1754
8,0.9896,0.2864,0.7042,0.1728
9,1.0000,0.8381,0.3268,0.1769
10,1,0.9257,0.3503,0.1739
11,1,0.9587,0.3813,0.1838
12,1,0.9842,0.4162,0.2310
13,1,0.9978,0.5284,0.2524
14,1,0.9983,0.5756,0.2711
15,1,0.9987,0.6256,0.2892
16,1,0.9996,0.6770,0.3063
17,1,0.9998,0.7007,0.3348
18,1,0.9999,0.7295,0.3491
19,1,0.9998,0.7494,0.3886
20,1,0.9999,0.7630,0.4426
21,1,0.9999,0.7810,0.4806
22,1,1,0.8073,0.5224
23,1,1,0.8325,0.5886
24,1,1,0.8469,0.6390
25,1,1,0.8630,0.6934
26,1,1,0.8778,0.7546
27,1,1,0.8951,0.7950
28,1,1,0.9084,0.8402
29,1,1,0.9166,0.8752
30,1,1,0.9264,0.9041

